City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,anadyr,64.75,177.4833,-18.72,84,75,9.0
174,dhidhdhoo,6.8833,73.1,26.93,73,71,2.55
175,yangjiang,21.85,111.9667,12.78,83,100,4.37
176,laguna,38.421,-121.4238,9.16,92,100,4.63
177,ulladulla,-35.35,150.4667,19.61,59,100,3.34
178,yarmouth,41.7057,-70.2286,2.26,81,100,5.81
179,papao,-17.75,-149.55,29.82,89,100,16.71
180,namtsy,62.7161,129.6658,-40.51,100,97,1.43
181,nemuro,43.3236,145.575,-6.15,69,64,0.75
182,banjar,-8.19,114.9675,25.01,91,99,2.11
183,vilyuysk,63.7553,121.6247,-36.67,100,96,1.34
184,brookings,44.3114,-96.7984,10.21,84,100,8.78
185,yaren,-0.5472,166.916,29.19,77,78,6.9
186,yairipok,24.6667,94.0667,7.02,95,1,0.77
187,chongwe,-15.3292,28.682,18.94,97,100,1.79
188,yanliang,34.6592,109.2292,-3.45,80,16,1.4
189,gloversville,43.0528,-74.3438,3.64,80,90,0.62
190,tura,25.5198,90.2201,10.86,42,0,1.39
191,el hamma,33.8915,9.7963,13.62,36,0,4.03
192,saynshand,44.8824,110.1163,-22.22,100,87,1.14
193,oriximina,-1.7656,-55.8661,29.73,61,40,1.79
194,fortaleza,-3.7227,-38.5247,29.07,74,0,3.6
195,oudewater,52.025,4.8681,3.9,90,100,0.79
196,whakatane,-37.9585,176.9854,26.6,79,44,2.68
197,sabaudia,41.3003,13.0282,12.66,96,33,1.98
198,atuncolla,-15.6833,-70.15,15.03,73,65,5.49
199,malango,-2.9627,119.9001,19.57,95,100,1.38
200,port macquarie,-31.4333,152.9167,21.05,86,100,6.14
201,fort bragg,35.139,-79.006,12.08,34,0,3.6
202,tiksi,71.6872,128.8694,-21.56,99,100,2.16
203,dolbeau-mistassini,48.8763,-72.212,-6.64,97,100,1.57
204,acarau,-2.8856,-40.12,27.59,79,40,6.71
205,clarksville,36.5298,-87.3595,19.74,19,0,3.09
206,najran,17.4924,44.1277,13.36,51,20,2.73
207,trubchevsk,52.5798,33.7644,-3.1,83,99,6.82
208,whangarei,-35.7317,174.3239,24.73,53,9,1.61
209,lebu,-37.6167,-73.65,15.4,71,99,9.29
210,qusmuryn,52.4503,64.6311,-7.89,91,100,10.99
211,tshabong,-26.05,22.45,28.9,29,100,3.88
212,azov,47.1078,39.4165,9.27,81,70,9.06
213,trincomalee,8.5711,81.2335,25.99,72,81,4.53
214,st. john's,47.5649,-52.7093,-1.23,85,100,11.18
215,kinkala,-4.3614,14.7644,22.82,90,28,1.64
216,puerto baquerizo moreno,-0.9,-89.6,28.55,79,40,5.14
217,vilyuchinsk,52.9306,158.4028,-13.85,88,100,2.28
218,camana,-16.6228,-72.7111,25.67,78,51,2.2
219,morteros,-30.7116,-61.9986,37.79,23,100,5.35
220,tralee,52.2704,-9.7026,5.5,88,100,6.5
221,kushiro,42.975,144.3747,-9.47,92,100,2.06
222,bagan,54.1001,77.6646,-2.18,95,100,5.08
223,praia da vitoria,38.7333,-27.0667,16.14,77,20,8.53
224,neiafu,-18.65,-173.9833,31.38,66,40,4.12
225,brisas de zicatela,15.8369,-97.0419,29.29,58,20,5.14
226,salinopolis,-0.6136,-47.3561,27.12,82,75,5.01
227,quepos,9.4236,-84.1652,29.3,68,37,1.53
228,ardabil,38.2498,48.2933,-0.25,74,0,4.12
229,shiguai,40.7058,110.2856,-13.71,90,100,1.06
230,bandarbeyla,9.4942,50.8122,25.16,72,37,7.29
231,saipan,15.1355,145.701,26.39,65,20,5.14
232,talnakh,69.4865,88.3972,-24.43,88,46,2.16
233,businga,3.3333,20.8833,23.73,37,3,0.41
234,kornik,52.2477,17.0895,0.58,77,100,3.78
235,tacotalpa,17.6,-92.8167,26.94,66,14,2.79
236,antonio enes,-16.2325,39.9086,26.05,86,87,0.63
